c28992r1000,aantal_inwoners,geometry,0-4,4-8,8-12,12-16,16-20,20-0,Total
357,105,"POLYGON ((88000 439000, 88000 440000, 87000 440000, 87000 439000, 88000 439000))",0.005128205128205128,0.0,0.020512820512820513,0.046153846153846156,0.025641025641025644,0.005128205128205128,0.10256410256410256
358,40,"POLYGON ((88000 440000, 88000 441000, 87000 441000, 87000 440000, 88000 440000))",0.0,0.005128205128205128,0.0,0.0,0.015384615384615385,0.0,0.020512820512820513
359,30,"POLYGON ((88000 441000, 88000 442000, 87000 442000, 87000 441000, 88000 441000))",0.005128205128205128,0.0,0.0,0.010256410256410256,0.0,0.0,0.015384615384615385
360,45,"POLYGON ((88000 442000, 88000 443000, 87000 443000, 87000 442000, 88000 442000))",0.0,0.0,0.0,0.0,0.005128205128205128,0.0,0.005128205128205128
363,305,"POLYGON ((89000 433000, 89000 434000, 88000 434000, 88000 433000, 89000 433000))",0.0,0.010256410256410256,0.07692307692307693,0.05128205128205129,0.025641025641025644,0.0,0.1641025641025641
364,1165,"POLYGON ((89000 434000, 89000 435000, 88000 435000, 88000 434000, 89000 434000))",0.020512820512820513,0.025641025641025644,0.06153846153846154,0.08205128205128205,0.025641025641025644,0.010256410256410256,0.22564102564102562
365,0,"POLYGON ((89000 435000, 89000 436000, 88000 436000, 88000 435000, 89000 435000))",0.0,0.0,0.0,0.0,0.005128205128205128,0.0,0.005128205128205128
366,6490,"POLYGON ((89000 436000, 89000 437000, 88000 437000, 88000 436000, 89000 436000))",0.025641025641025644,0.07692307692307693,0.13846153846153847,0.18461538461538463,0.14871794871794872,0.1641025641025641,0.7384615384615385
367,3230,"POLYGON ((89000 437000, 89000 438000, 88000 438000, 88000 437000, 89000 437000))",0.020512820512820513,0.0358974358974359,0.041025641025641026,0.08717948717948719,0.05641025641025641,0.041025641025641026,0.28205128205128205
368,1350,"POLYGON ((89000 438000, 89000 439000, 88000 439000, 88000 438000, 89000 438000))",0.041025641025641026,0.05641025641025641,0.19487179487179487,0.19487179487179487,0.13333333333333333,0.06666666666666667,0.6871794871794872
369,4735,"POLYGON ((89000 439000, 89000 440000, 88000 440000, 88000 439000, 89000 439000))",0.05641025641025641,0.041025641025641026,0.1076923076923077,0.21025641025641026,0.14871794871794872,0.20512820512820515,0.7692307692307693
370,45,"POLYGON ((89000 440000, 89000 441000, 88000 441000, 88000 440000, 89000 440000))",0.005128205128205128,0.005128205128205128,0.03076923076923077,0.06153846153846154,0.03076923076923077,0.015384615384615385,0.14871794871794872
371,5,"POLYGON ((89000 441000, 89000 442000, 88000 442000, 88000 441000, 89000 441000))",0.0,0.0,0.0,0.010256410256410256,0.005128205128205128,0.0,0.015384615384615385
372,5,"POLYGON ((89000 442000, 89000 443000, 88000 443000, 88000 442000, 89000 442000))",0.0,0.005128205128205128,0.0,0.0,0.005128205128205128,0.0,0.010256410256410256
375,0,"POLYGON ((90000 432000, 90000 433000, 89000 433000, 89000 432000, 90000 432000))",0.0,0.015384615384615385,0.05128205128205129,0.041025641025641026,0.0717948717948718,0.005128205128205128,0.18461538461538465
376,0,"POLYGON ((90000 433000, 90000 434000, 89000 434000, 89000 433000, 90000 433000))",0.005128205128205128,0.005128205128205128,0.015384615384615385,0.025641025641025644,0.005128205128205128,0.0,0.05641025641025641
378,2105,"POLYGON ((90000 435000, 90000 436000, 89000 436000, 89000 435000, 90000 435000))",0.015384615384615385,0.020512820512820513,0.06666666666666667,0.07692307692307693,0.041025641025641026,0.010256410256410256,0.23076923076923075
379,12085,"POLYGON ((90000 436000, 90000 437000, 89000 437000, 89000 436000, 90000 436000))",0.1076923076923077,0.06666666666666667,0.2820512820512821,0.38461538461538464,0.2923076923076923,0.21025641025641026,1.3435897435897437
380,3845,"POLYGON ((90000 437000, 90000 438000, 89000 438000, 89000 437000, 90000 437000))",0.046153846153846156,0.08717948717948719,0.24615384615384617,0.34871794871794876,0.2512820512820513,0.2153846153846154,1.194871794871795
381,4375,"POLYGON ((90000 438000, 90000 439000, 89000 439000, 89000 438000, 90000 438000))",0.046153846153846156,0.05128205128205129,0.10256410256410257,0.3025641025641026,0.22051282051282053,0.12307692307692308,0.8461538461538461
382,3935,"POLYGON ((90000 439000, 90000 440000, 89000 440000, 89000 439000, 90000 439000))",0.06666666666666667,0.025641025641025644,0.0717948717948718,0.11794871794871796,0.09743589743589744,0.07692307692307693,0.45641025641025645
383,585,"POLYGON ((90000 440000, 90000 441000, 89000 441000, 89000 440000, 90000 440000))",0.015384615384615385,0.03076923076923077,0.05128205128205129,0.12307692307692308,0.09743589743589744,0.05641025641025641,0.3743589743589744
384,0,"POLYGON ((90000 441000, 90000 442000, 89000 442000, 89000 441000, 90000 441000))",0.0,0.0,0.005128205128205128,0.0,0.0,0.0,0.005128205128205128
388,155,"POLYGON ((91000 431000, 91000 432000, 90000 432000, 90000 431000, 91000 431000))",0.0,0.0,0.046153846153846156,0.015384615384615385,0.010256410256410256,0.0,0.0717948717948718
389,185,"POLYGON ((91000 432000, 91000 433000, 90000 433000, 90000 432000, 91000 432000))",0.010256410256410256,0.046153846153846156,0.12820512820512822,0.24102564102564106,0.07692307692307693,0.041025641025641026,0.5435897435897435
390,0,"POLYGON ((91000 433000, 91000 434000, 90000 434000, 90000 433000, 91000 433000))",0.005128205128205128,0.0,0.025641025641025644,0.010256410256410256,0.0358974358974359,0.005128205128205128,0.08205128205128205
