c28992r1000,aantal_inwoners,geometry,0-1,1-2,2-3,3-4,4-5,5-6,6-7,7-8,8-9,9-10,10-11,11-12,12-13,13-14,14-15,15-16,16-17,17-18,18-19,19-20,20-21,21-22,22-23,23-0,Total
25,9590,"POLYGON ((78000 450000, 78000 451000, 77000 451000, 77000 450000, 78000 450000))",0.041025641025641026,0.0358974358974359,0.0358974358974359,0.015384615384615385,0.0358974358974359,0.010256410256410256,0.05641025641025641,0.07692307692307693,0.12820512820512822,0.13846153846153847,0.19487179487179487,0.20512820512820515,0.18461538461538463,0.1435897435897436,0.0717948717948718,0.09230769230769231,0.10256410256410257,0.12820512820512822,0.041025641025641026,0.08205128205128205,0.046153846153846156,0.05641025641025641,0.05641025641025641,0.0717948717948718,2.0512820512820515
26,8465,"POLYGON ((78000 451000, 78000 452000, 77000 452000, 77000 451000, 78000 451000))",0.05128205128205129,0.010256410256410256,0.03076923076923077,0.046153846153846156,0.05128205128205129,0.05641025641025641,0.0358974358974359,0.1076923076923077,0.17435897435897438,0.22051282051282053,0.26153846153846155,0.17948717948717952,0.2717948717948718,0.29743589743589743,0.24615384615384617,0.26153846153846155,0.20000000000000004,0.24615384615384617,0.15384615384615385,0.11794871794871796,0.13333333333333333,0.158974358974359,0.08717948717948719,0.09230769230769231,3.4923076923076923
27,6095,"POLYGON ((78000 452000, 78000 453000, 77000 453000, 77000 452000, 78000 452000))",0.046153846153846156,0.025641025641025644,0.025641025641025644,0.041025641025641026,0.025641025641025644,0.015384615384615385,0.025641025641025644,0.08205128205128205,0.1076923076923077,0.13846153846153847,0.18974358974358974,0.07692307692307693,0.1692307692307692,0.20512820512820515,0.20512820512820515,0.11794871794871796,0.11794871794871796,0.09230769230769231,0.13846153846153847,0.08717948717948719,0.08717948717948719,0.0717948717948718,0.08205128205128205,0.07692307692307693,2.2512820512820513
28,10105,"POLYGON ((78000 453000, 78000 454000, 77000 454000, 77000 453000, 78000 453000))",0.07692307692307693,0.025641025641025644,0.046153846153846156,0.046153846153846156,0.0358974358974359,0.05128205128205129,0.046153846153846156,0.1076923076923077,0.09743589743589744,0.1641025641025641,0.18974358974358974,0.17948717948717952,0.22051282051282053,0.24615384615384617,0.24615384615384617,0.158974358974359,0.1435897435897436,0.15384615384615385,0.11794871794871796,0.07692307692307693,0.11794871794871796,0.08717948717948719,0.09743589743589744,0.0717948717948718,2.8051282051282054
29,9620,"POLYGON ((78000 454000, 78000 455000, 77000 455000, 77000 454000, 78000 454000))",0.015384615384615385,0.015384615384615385,0.025641025641025644,0.005128205128205128,0.0,0.020512820512820513,0.03076923076923077,0.03076923076923077,0.05128205128205129,0.10256410256410257,0.12307692307692308,0.13333333333333333,0.14871794871794872,0.1076923076923077,0.09230769230769231,0.12820512820512822,0.11282051282051282,0.08205128205128205,0.06666666666666667,0.05641025641025641,0.05128205128205129,0.041025641025641026,0.041025641025641026,0.010256410256410256,1.4923076923076923
30,3590,"POLYGON ((78000 455000, 78000 456000, 77000 456000, 77000 455000, 78000 455000))",0.020512820512820513,0.005128205128205128,0.0358974358974359,0.0,0.005128205128205128,0.0,0.010256410256410256,0.041025641025641026,0.03076923076923077,0.06666666666666667,0.0358974358974359,0.046153846153846156,0.0717948717948718,0.09230769230769231,0.041025641025641026,0.07692307692307693,0.08717948717948719,0.05641025641025641,0.05641025641025641,0.05641025641025641,0.0358974358974359,0.020512820512820513,0.010256410256410256,0.005128205128205128,0.9076923076923077
31,5985,"POLYGON ((78000 456000, 78000 457000, 77000 457000, 77000 456000, 78000 456000))",0.025641025641025644,0.03076923076923077,0.005128205128205128,0.020512820512820513,0.025641025641025644,0.005128205128205128,0.03076923076923077,0.025641025641025644,0.03076923076923077,0.1076923076923077,0.07692307692307693,0.05641025641025641,0.0717948717948718,0.06153846153846154,0.05641025641025641,0.03076923076923077,0.0358974358974359,0.0358974358974359,0.05641025641025641,0.0358974358974359,0.046153846153846156,0.025641025641025644,0.0358974358974359,0.025641025641025644,0.9589743589743591
32,100,"POLYGON ((78000 457000, 78000 458000, 77000 458000, 77000 457000, 78000 457000))",0.0,0.0,0.0,0.0,0.0,0.0,0.005128205128205128,0.005128205128205128,0.0,0.0,0.010256410256410256,0.0,0.005128205128205128,0.005128205128205128,0.0,0.0,0.0,0.0,0.0,0.005128205128205128,0.0,0.0,0.0,0.0,0.035897435897435895
33,2245,"POLYGON ((79000 449000, 79000 450000, 78000 450000, 78000 449000, 79000 449000))",0.0,0.0,0.005128205128205128,0.0,0.0,0.0,0.0,0.005128205128205128,0.0,0.0,0.0,0.0,0.0,0.005128205128205128,0.0,0.0,0.005128205128205128,0.0,0.0,0.005128205128205128,0.0,0.0,0.0,0.005128205128205128,0.03076923076923077
34,8260,"POLYGON ((79000 450000, 79000 451000, 78000 451000, 78000 450000, 79000 450000))",0.05128205128205129,0.0358974358974359,0.015384615384615385,0.020512820512820513,0.015384615384615385,0.010256410256410256,0.0358974358974359,0.05641025641025641,0.08205128205128205,0.13333333333333333,0.18974358974358974,0.10256410256410257,0.12307692307692308,0.12307692307692308,0.13846153846153847,0.09230769230769231,0.08205128205128205,0.0717948717948718,0.08205128205128205,0.046153846153846156,0.05128205128205129,0.06153846153846154,0.06666666666666667,0.05128205128205129,1.7384615384615385
