c28992r1000,aantal_inwoners,geometry,0-4,4-8,8-12,12-16,16-20,20-0,Total
41,6970,"POLYGON ((79000 457000, 79000 458000, 78000 458000, 78000 457000, 79000 457000))",0.11794871794871796,0.14871794871794872,0.3025641025641026,0.4051282051282052,0.37435897435897436,0.26153846153846155,1.6102564102564103
42,2835,"POLYGON ((79000 458000, 79000 459000, 78000 459000, 78000 458000, 79000 458000))",0.05641025641025641,0.0717948717948718,0.3641025641025641,0.36923076923076925,0.34871794871794876,0.15384615384615385,1.3641025641025641
44,6025,"POLYGON ((80000 448000, 80000 449000, 79000 449000, 79000 448000, 80000 448000))",0.03076923076923077,0.015384615384615385,0.0358974358974359,0.03076923076923077,0.046153846153846156,0.041025641025641026,0.2
45,8270,"POLYGON ((80000 449000, 80000 450000, 79000 450000, 79000 449000, 80000 449000))",0.05641025641025641,0.08717948717948719,0.12307692307692308,0.09743589743589744,0.11794871794871796,0.11794871794871796,0.6000000000000001
46,4595,"POLYGON ((80000 450000, 80000 451000, 79000 451000, 79000 450000, 80000 450000))",0.08717948717948719,0.12307692307692308,0.2923076923076923,0.2820512820512821,0.22051282051282053,0.1641025641025641,1.1692307692307695
47,10180,"POLYGON ((80000 451000, 80000 452000, 79000 452000, 79000 451000, 80000 451000))",0.09743589743589744,0.10256410256410257,0.6051282051282052,0.558974358974359,0.4205128205128205,0.29743589743589743,2.082051282051282
48,975,"POLYGON ((80000 452000, 80000 453000, 79000 453000, 79000 452000, 80000 452000))",0.005128205128205128,0.010256410256410256,0.05641025641025641,0.09743589743589744,0.05641025641025641,0.05128205128205129,0.27692307692307694
49,19710,"POLYGON ((80000 453000, 80000 454000, 79000 454000, 79000 453000, 80000 453000))",0.2871794871794872,0.20512820512820515,0.6410256410256411,0.7692307692307692,0.6974358974358975,0.6769230769230768,3.276923076923077
50,15610,"POLYGON ((80000 454000, 80000 455000, 79000 455000, 79000 454000, 80000 454000))",0.3025641025641026,0.34358974358974365,0.8717948717948718,0.9487179487179486,0.8051282051282053,0.7076923076923077,3.97948717948718
51,12790,"POLYGON ((80000 455000, 80000 456000, 79000 456000, 79000 455000, 80000 455000))",0.13846153846153847,0.07692307692307693,0.3025641025641026,0.4051282051282052,0.37948717948717947,0.18461538461538463,1.4871794871794872
52,1945,"POLYGON ((80000 456000, 80000 457000, 79000 457000, 79000 456000, 80000 456000))",0.03076923076923077,0.05128205128205129,0.22564102564102564,0.24615384615384617,0.1076923076923077,0.11282051282051282,0.7743589743589745
53,5055,"POLYGON ((80000 457000, 80000 458000, 79000 458000, 79000 457000, 80000 457000))",0.1435897435897436,0.11282051282051282,0.4102564102564103,0.49743589743589745,0.26666666666666666,0.17435897435897438,1.6051282051282052
54,10230,"POLYGON ((80000 458000, 80000 459000, 79000 459000, 79000 458000, 80000 458000))",0.21025641025641026,0.21025641025641026,0.5230769230769231,0.5538461538461539,0.49230769230769234,0.4307692307692308,2.420512820512821
55,1105,"POLYGON ((80000 459000, 80000 460000, 79000 460000, 79000 459000, 80000 459000))",0.005128205128205128,0.005128205128205128,0.14871794871794872,0.13846153846153847,0.05641025641025641,0.025641025641025644,0.3794871794871795
57,5055,"POLYGON ((81000 448000, 81000 449000, 80000 449000, 80000 448000, 81000 448000))",0.041025641025641026,0.05128205128205129,0.158974358974359,0.11282051282051282,0.12820512820512822,0.05128205128205129,0.5435897435897437
58,3895,"POLYGON ((81000 449000, 81000 450000, 80000 450000, 80000 449000, 81000 449000))",0.010256410256410256,0.010256410256410256,0.025641025641025644,0.046153846153846156,0.0358974358974359,0.015384615384615385,0.1435897435897436
60,6885,"POLYGON ((81000 451000, 81000 452000, 80000 452000, 80000 451000, 81000 451000))",0.1076923076923077,0.11282051282051282,0.49743589743589745,0.5076923076923077,0.39487179487179486,0.2820512820512821,1.9025641025641027
61,12005,"POLYGON ((81000 452000, 81000 453000, 80000 453000, 80000 452000, 81000 452000))",0.27692307692307694,0.3025641025641026,0.5230769230769231,0.8717948717948718,0.8564102564102564,0.5948717948717949,3.425641025641026
62,21260,"POLYGON ((81000 453000, 81000 454000, 80000 454000, 80000 453000, 81000 453000))",0.441025641025641,0.2512820512820513,0.9179487179487179,1.564102564102564,0.9384615384615383,0.882051282051282,4.994871794871795
63,16000,"POLYGON ((81000 454000, 81000 455000, 80000 455000, 80000 454000, 81000 454000))",0.37435897435897436,0.25641025641025644,0.9487179487179488,1.4102564102564104,0.9487179487179488,0.7435897435897436,4.682051282051282
64,10600,"POLYGON ((81000 455000, 81000 456000, 80000 456000, 80000 455000, 81000 455000))",0.21025641025641026,0.22051282051282053,0.6307692307692307,0.7384615384615385,0.6205128205128205,0.5384615384615384,2.958974358974359
65,5035,"POLYGON ((81000 456000, 81000 457000, 80000 457000, 80000 456000, 81000 456000))",0.15384615384615385,0.1076923076923077,0.7282051282051283,0.7538461538461538,0.5794871794871795,0.3128205128205128,2.6358974358974363
66,925,"POLYGON ((81000 457000, 81000 458000, 80000 458000, 80000 457000, 81000 457000))",0.010256410256410256,0.005128205128205128,0.05128205128205129,0.05641025641025641,0.025641025641025644,0.05128205128205129,0.2
67,3605,"POLYGON ((81000 458000, 81000 459000, 80000 459000, 80000 458000, 81000 458000))",0.06666666666666667,0.05641025641025641,0.4102564102564103,0.37435897435897436,0.18461538461538463,0.11282051282051282,1.2051282051282053
